id,min_share_capital,diff_stamm_vs_vorzug
9,100,1
12,NaN,0
27,85.20,0
33,NaN,0
55,NaN,0
58,NaN,0
60,NaN,0
65,75.79,1
91,NaN,0
92,NaN,0
101,NaN,0
146,93.02,0
149,NaN,0
153,NaN,0
195,100,1
196,100,1
198,100,1
200,100,1
201,100,1
202,100,1
204,100,1
207,100,1
229,51.79,0
235,NaN,0
243,NaN,0
251,NaN,0
258,NaN,0
261,NaN,0
266,70.16,0
267,NaN,0
268,NaN,0
269,NaN,0
270,NaN,0
271,NaN,0
272,NaN,0
273,NaN,0
274,NaN,0
275,NaN,0
276,NaN,0
277,NaN,0
278,NaN,0
281,NaN,0
282,NaN,0
288,NaN,0
301,NaN,0
302,NaN,0
306,NaN,0
307,63.41,0
310,NaN,0
311,99.92,0
318,NaN,0
319,NaN,0
321,NaN,0
329,NaN,0
335,NaN,0
339,NaN,0
347,NaN,0
368,85.97,0
373,81.16,0
374,83.93,0
375,86.24,0
413,NaN,0
414,NaN,0
418,NaN,0
440,NaN,0
441,79.43,0
442,NaN,0
449,NaN,0
452,NaN,0
453,NaN,0
460,NaN,0
480,97.02,0
489,97.36,0
490,97.17,0
492,97.27,0
509,NaN,0
512,NaN,0
515,NaN,0
517,NaN,0
519,97.67,0
521,55.88,0
528,NaN,0
566,NaN,0
569,58.2,0
573,NaN,0
576,NaN,0
584,NaN,0
602,NaN,0
605,84.5,0
606,83.89,0
609,NaN,0
610,NaN,0
613,84.56,0
614,NaN,0
615,NaN,0
616,NaN,0
629,59.28,0
640,NaN,0
645,NaN,0
663,NaN,0
668,NaN,0
672,NaN,0
673,NaN,0
675,NaN,0
676,NaN,0
678,26.7,0
683,NaN,0
697,NaN,0
698,NaN,0
699,NaN,0
709,NaN,0
713,62.79,0
715,NaN,0
726,NaN,0
732,NaN,0
744,NaN,0
745,NaN,0
747,NaN,0
772,NaN,0
773,NaN,0
783,NaN,0
784,NaN,0
788,NaN,0
792,NaN,0
793,NaN,0
797,NaN,0
807,NaN,0
839,NaN,0
847,NaN,0
852,NaN,0
862,38.93,0
874,98.41,0
894,NaN,0
895,NaN,0
897,95.54,0
898,50.28,0
900,NaN,0
905,63.57,0
907,94.9,0
911,NaN,0
919,NaN,0
922,NaN,0
929,NaN,0
939,48.12,0
942,NaN,0
944,100,0
948,NaN,0
951,NaN,0
958,44.61,0
967,NaN,0
987,NaN,0
993,NaN,0
998,NaN,0
1010,66.3,0
1037,NaN,0
1039,NaN,0
1041,NaN,0
1059,NaN,0
1063,NaN,0
1071,NaN,0
1080,NaN,0
1085,NaN,0
1097,NaN,0
1104,NaN,0
1105,NaN,0
1112,NaN,0
1115,73.28,0
1118,NaN,0
1123,NaN,0
1179,NaN,0
1182,NaN,0
1183,NaN,0
1186,98.26,0
1188,97.85,0
1190,NaN,0
1193,NaN,0
1196,NaN,0
1199,NaN,0
1208,45.27,0
1210,97.61,0
1211,NaN,0
1218,NaN,0
1219,NaN,0
1220,NaN,0
1224,61.17,0
1225,97.31,0
1233,81.57,0
1277,78.04,0
1278,NaN,0
1282,NaN,0
1289,NaN,0
1292,NaN,0
1298,NaN,0
1311,NaN,0
1318,NaN,0
1326,NaN,0
1328,NaN,0
1329,NaN,0
1331,NaN,0
1333,54.27,0
1345,NaN,0
1349,NaN,0
1355,61.60,0
1360,NaN,0
1361,NaN,0
1362,NaN,0
1367,NaN,0
1396,NaN,0
1397,43.62,0
1403,51.28,0
1406,53.57,0
1407,46.25,0
1411,52.1,0
1420,56.7,0
1427,NaN,0
1435,NaN,0
1438,NaN,0
1449,39.04,0
1458,38.65,0
1461,39.48,0
1486,NaN,0
1491,NaN,0
1504,NaN,0
1507,65.48,0
1508,NaN,0
1536,NaN,0
1537,73.96,0
1542,NaN,0
1548,NaN,0
1562,NaN,0
1563,NaN,0
1572,NaN,0
1574,NaN,0
1576,NaN,0
1587,59.23,0
1588,63.27,0
1589,96.93,0
1591,NaN,0
1592,49.3,0
1593,65.36,0
1602,NaN,0
1607,NaN,0
1608,NaN,0
1612,NaN,0
1615,NaN,0
1619,NaN,0
1623,NaN,0
1629,NaN,0
1641,31.04,0
1642,25.69,0
1661,63.91,0
1662,59.84,0
1664,97.12,0
1665,98.45,0
1672,97.18,0
1674,58.24,0
1677,NaN,0
1678,NaN,0
1682,NaN,0
1683,NaN,0
1692,NaN,0
1708,56.32,0
1712,97.58,0
1733,88.41,0
1735,85.44,0
1738,84.6,0
1742,87.64,0
1743,88.99,0
1751,NaN,0
1753,NaN,0
1754,NaN,0
1760,NaN,0
1793,80.77,0
1800,NaN,0
1804,29.46,0
1805,NaN,0
1809,NaN,0
1811,28.66,0
1816,49.94,0
1828,NaN,0
1836,NaN,0
1838,76.47,0
1840,NaN,0
1847,NaN,0
1848,NaN,0
1874,56.51,0
1898,NaN,0
1903,NaN,0
1913,NaN,0
1918,53.43,0
1921,NaN,0
1923,NaN,0
1931,NaN,0
1940,NaN,0
1959,NaN,0
1971,65.68,0
1996,62.23,0
1998,NaN,0
2000,NaN,0
2004,NaN,0
2010,86.28,0
2013,97.09,0
2023,NaN,0
2024,NaN,0
2035,54.89,0
2038,63.34,0
2040,52.99,0
2042,97.04,0
2043,64.93,0
2044,96.93,0
2046,86.37,0
2047,NaN,0
2065,79.81,0
2068,NaN,0
2069,NaN,0
2071,NaN,0
2076,NaN,0
2081,NaN,0
2088,46.47,0
2095,47.2,0
2104,NaN,0
2127,NaN,0
2131,NaN,0
2155,58.85,0
2164,66.96,0
2165,NaN,0
2190,84.55,0
2191,NaN,0
2201,59.65,0
2203,98.91,0
2205,99.0,0
2206,99.94,0
2208,98.98,0
2209,98.93,0
2211,99.94,0
2216,NaN,0
2223,NaN,0
2231,NaN,0
2233,NaN,0
2234,NaN,0
2235,NaN,0
2236,NaN,0
2238,NaN,0
2251,NaN,0
2256,97.52,0
2259,97.89,0
2268,97.75,0
2269,NaN,0
2274,NaN,0
2278,88.47,0
2280,85.28,0
2293,45.88,0
2315,60.1,0
2326,NaN,0
2344,NaN,0
2346,89.71,0
2349,NaN,0
2354,52.9,0
2388,38.07,0
2413,NaN,0
2417,NaN,0
2420,NaN,0
2422,NaN,0
2427,NaN,0
2447,76.04,0
2470,NaN,0
2476,NaN,0
2478,NaN,0
2490,72.19,0
2495,95.05,0
2506,60.14,0
2523,NaN,0
2526,NaN,0
2540,NaN,0
2563,NaN,0
2564,NaN,0
2569,NaN,0
2574,NaN,0
2577,NaN,0
2587,NaN,0
2614,75.08,1
2619,NaN,0
2624,NaN,0
2626,17.22,0
2629,NaN,0
2639,NaN,0
2640,NaN,0
2641,NaN,0
2644,NaN,0
2654,NaN,0
2660,83.12,0
2674,NaN,0
2676,NaN,0
2682,NaN,0
2709,NaN,0
2715,NaN,0
2752,NaN,0
2758,NaN,0
2759,NaN,0
2765,NaN,0
2766,NaN,0
2767,NaN,0
2771,NaN,0
2772,NaN,0
2773,NaN,0
2774,88.91,0
2776,88.6,0
2782,NaN,0
2783,99.22,0
2787,NaN,0
2788,NaN,0
2797,NaN,0
2799,NaN,0
2800,NaN,0
2802,NaN,0
2803,NaN,0
2824,NaN,0
2825,NaN,0
2829,NaN,0
2830,NaN,0
2832,NaN,0
2834,NaN,0
2838,NaN,0
2839,NaN,0
2842,NaN,0
2859,NaN,0
2872,NaN,0
2873,NaN,0
2877,NaN,0
